newsletter_send_id,person_id,sent_at,newsletter_type,opened,clicked
90000,10000,2024-12-22,weekly_digest,True,False
90001,10000,2024-08-04,weekly_digest,False,False
90002,10000,2024-03-17,weekly_digest,False,False
90003,10000,2024-07-07,monthly_roundup,False,False
90004,10000,2024-07-14,announcement,True,False
90005,10000,2024-06-02,monthly_roundup,False,False
90006,10000,2024-02-18,weekly_digest,True,False
90007,10000,2024-03-24,weekly_digest,False,False
90008,10000,2024-05-19,monthly_roundup,False,True
90009,10000,2024-11-03,monthly_roundup,False,False
90010,10000,2024-01-28,product_update,True,False
90011,10000,2024-07-14,weekly_digest,True,False
90012,10000,2024-04-14,announcement,True,False
90013,10001,2024-11-10,weekly_digest,False,False
90014,10001,2024-07-07,monthly_roundup,False,False
90015,10001,2024-10-06,weekly_digest,False,False
90016,10001,2024-06-30,monthly_roundup,True,True
90017,10001,2024-12-22,weekly_digest,False,False
90018,10001,2024-09-08,monthly_roundup,False,False
90019,10001,2024-06-02,weekly_digest,True,True
90020,10002,2024-01-07,monthly_roundup,False,False
90021,10002,2024-03-17,weekly_digest,False,False
90022,10002,2024-06-23,weekly_digest,False,False
90023,10002,2024-10-06,monthly_roundup,False,True
90024,10002,2024-06-30,announcement,True,False
90025,10002,2024-09-08,community_highlights,False,False
90026,10002,2024-12-29,weekly_digest,False,False
90027,10002,2024-07-14,product_update,True,False
90028,10003,2024-07-14,announcement,True,False
90029,10003,2024-12-01,announcement,False,False
90030,10003,2024-09-15,monthly_roundup,False,False
90031,10003,2024-12-15,weekly_digest,False,False
90032,10003,2024-02-18,announcement,False,False
90033,10003,2024-06-02,weekly_digest,True,True
90034,10003,2024-11-24,product_update,False,False
90035,10004,2024-10-20,weekly_digest,True,False
90036,10004,2024-05-12,weekly_digest,False,False
90037,10004,2024-04-14,announcement,True,False
90038,10004,2024-01-07,weekly_digest,False,False
90039,10004,2024-07-14,monthly_roundup,True,False
90040,10004,2024-05-19,community_highlights,True,False
90041,10004,2024-04-21,announcement,True,False
90042,10004,2024-10-20,weekly_digest,False,False
90043,10005,2024-01-14,weekly_digest,False,False
90044,10005,2024-11-17,monthly_roundup,False,True
90045,10005,2024-09-15,monthly_roundup,True,False
90046,10005,2024-12-29,product_update,True,False
90047,10005,2024-04-28,monthly_roundup,False,False
90048,10005,2024-12-01,monthly_roundup,True,False
90049,10005,2024-02-18,product_update,False,True
90050,10005,2024-09-22,community_highlights,False,False
90051,10006,2024-08-04,weekly_digest,False,False
90052,10006,2024-05-26,community_highlights,False,False
90053,10006,2024-12-29,weekly_digest,False,False
90054,10006,2024-12-29,monthly_roundup,True,True
90055,10006,2024-06-30,product_update,False,False
90056,10006,2024-04-28,monthly_roundup,False,False
90057,10006,2024-06-23,monthly_roundup,True,True
90058,10006,2024-03-24,weekly_digest,False,False
90059,10007,2024-12-22,weekly_digest,True,False
90060,10007,2024-09-22,monthly_roundup,False,False
90061,10007,2024-10-06,community_highlights,False,False
90062,10007,2024-06-30,weekly_digest,False,False
90063,10007,2024-08-04,weekly_digest,True,False
90064,10007,2024-08-04,product_update,True,False
90065,10007,2024-03-03,product_update,False,False
90066,10007,2024-06-09,monthly_roundup,False,False
90067,10007,2024-10-06,product_update,False,False
90068,10007,2024-06-02,monthly_roundup,False,False
90069,10007,2024-04-21,product_update,True,False
90070,10007,2024-06-30,product_update,False,True
90071,10007,2024-12-08,weekly_digest,True,False
90072,10007,2024-05-19,monthly_roundup,True,True
90073,10008,2024-03-17,announcement,False,False
90074,10008,2024-11-03,weekly_digest,False,False
90075,10008,2024-08-18,product_update,False,False
90076,10008,2024-09-22,monthly_roundup,False,False
90077,10008,2024-01-14,monthly_roundup,False,True
90078,10008,2024-10-06,community_highlights,True,True
90079,10008,2024-03-24,weekly_digest,False,False
90080,10008,2024-09-01,product_update,True,False
90081,10008,2024-11-03,product_update,True,False
90082,10008,2024-11-03,weekly_digest,False,False
90083,10008,2024-10-27,announcement,False,True
90084,10008,2024-03-10,monthly_roundup,False,False
90085,10008,2024-06-02,community_highlights,False,False
90086,10008,2024-04-21,weekly_digest,False,False
90087,10008,2024-11-10,weekly_digest,False,False
90088,10009,2024-09-01,product_update,False,True
90089,10009,2024-07-14,weekly_digest,False,False
90090,10009,2024-07-14,weekly_digest,False,False
90091,10009,2024-12-29,monthly_roundup,True,False
90092,10009,2024-06-02,weekly_digest,False,False
90093,10009,2024-12-01,community_highlights,True,False
90094,10009,2024-07-28,weekly_digest,False,False
90095,10009,2024-09-01,weekly_digest,True,False
90096,10009,2024-03-24,weekly_digest,False,False
90097,10009,2024-03-17,weekly_digest,True,False
90098,10009,2024-06-30,weekly_digest,False,False
90099,10009,2024-12-29,product_update,False,False
90100,10009,2024-03-17,announcement,False,True
90101,10009,2024-12-15,announcement,False,False
90102,10009,2024-02-18,weekly_digest,False,False
90103,10009,2024-01-21,weekly_digest,False,False
90104,10009,2024-11-24,weekly_digest,True,False
90105,10009,2024-08-18,product_update,True,False
90106,10010,2024-04-07,product_update,True,False
90107,10010,2024-03-24,monthly_roundup,True,False
90108,10010,2024-04-14,monthly_roundup,False,False
90109,10010,2024-10-13,monthly_roundup,True,False
90110,10010,2024-03-31,product_update,True,False
90111,10010,2024-01-28,weekly_digest,False,True
90112,10010,2024-09-01,announcement,False,False
90113,10010,2024-02-11,announcement,True,False
90114,10010,2024-09-22,weekly_digest,True,False
90115,10010,2024-12-15,weekly_digest,False,False
90116,10010,2024-09-22,weekly_digest,True,True
90117,10010,2024-01-07,product_update,False,False
90118,10011,2024-07-28,weekly_digest,True,False
90119,10011,2024-02-04,weekly_digest,True,False
90120,10011,2024-02-04,product_update,False,False
90121,10011,2024-10-20,weekly_digest,False,False
90122,10011,2024-08-25,product_update,True,False
90123,10011,2024-01-14,announcement,False,True
90124,10011,2024-04-14,community_highlights,False,False
90125,10011,2024-10-27,announcement,False,True
90126,10012,2024-11-17,announcement,False,False
90127,10012,2024-09-29,weekly_digest,False,False
90128,10012,2024-11-17,weekly_digest,False,True
90129,10012,2024-09-08,community_highlights,False,False
90130,10012,2024-05-05,monthly_roundup,False,False
90131,10012,2024-08-18,weekly_digest,False,False
90132,10012,2024-07-21,announcement,True,True
90133,10012,2024-10-20,weekly_digest,False,False
90134,10012,2024-06-30,product_update,False,False
90135,10012,2024-03-03,product_update,True,False
90136,10012,2024-05-26,product_update,False,False
90137,10013,2024-08-04,monthly_roundup,True,False
90138,10013,2024-05-12,announcement,False,False
90139,10013,2024-05-05,monthly_roundup,True,False
90140,10013,2024-01-14,weekly_digest,True,False
90141,10013,2024-01-14,weekly_digest,True,False
90142,10013,2024-10-20,announcement,True,False
90143,10013,2024-02-25,monthly_roundup,False,False
90144,10013,2024-08-18,announcement,False,False
90145,10013,2024-06-02,product_update,False,True
90146,10013,2024-06-23,announcement,True,False
90147,10013,2024-06-09,weekly_digest,True,False
90148,10013,2024-07-14,weekly_digest,True,False
90149,10013,2024-06-16,monthly_roundup,False,False
90150,10013,2024-08-11,weekly_digest,False,False
