metric_id,content_id,date,organic_traffic,keyword_rank,backlinks,domain_rating,referring_domains
100000,2000,2024-02-27,48,1,10,65,3
100001,2000,2024-09-30,166,1,16,65,3
100002,2000,2024-02-16,24,1,16,63,6
100003,2000,2024-03-22,124,1,13,66,10
100004,2000,2024-04-16,376,1,12,64,6
100005,2000,2024-07-24,17,1,22,65,6
100006,2000,2024-01-05,479,1,20,64,9
100007,2000,2024-07-01,106,1,17,66,10
100008,2000,2024-03-17,349,1,14,66,4
100009,2000,2024-12-10,367,1,10,63,11
100010,2000,2024-11-13,1450,1,11,64,12
100011,2000,2024-10-02,519,1,7,65,7
100012,2000,2024-09-13,52,1,13,66,7
100013,2000,2024-10-11,533,1,10,66,8
100014,2000,2024-09-13,45,1,20,63,10
100015,2000,2024-02-06,12,1,13,64,11
100016,2000,2024-08-16,31,1,18,64,7
100017,2000,2024-06-28,10,1,15,64,5
100018,2000,2024-12-01,158,1,15,64,7
100019,2000,2024-09-08,33,1,8,67,7
100020,2000,2024-11-17,508,1,13,65,3
100021,2000,2024-03-25,415,1,12,65,12
100022,2000,2024-05-14,145,1,15,63,9
100023,2000,2024-08-02,36,1,13,66,4
100024,2000,2024-10-12,134,1,11,65,5
100025,2000,2024-11-05,67,1,14,67,8
100026,2000,2024-08-11,302,1,17,66,5
100027,2000,2024-09-22,78,1,16,63,9
100028,2000,2024-10-19,32,1,13,65,8
100029,2000,2024-07-30,45,1,21,64,7
100030,2000,2024-06-18,57,1,12,63,7
100031,2000,2024-01-21,23,1,13,65,10
100032,2000,2024-07-08,304,1,17,65,7
100033,2000,2024-03-10,809,1,23,66,6
100034,2000,2024-12-01,76,1,17,65,12
100035,2000,2024-06-18,2238,1,15,63,8
100036,2000,2024-04-03,10,1,17,62,12
100037,2000,2024-02-19,248,1,11,65,5
100038,2000,2024-10-18,13,1,15,65,6
100039,2000,2024-06-04,10,1,13,66,6
100040,2000,2024-04-03,108,1,12,64,6
100041,2000,2024-11-06,65,1,18,65,7
100042,2000,2024-12-30,10,1,20,66,11
100043,2000,2024-04-01,49,1,14,65,8
100044,2000,2024-08-08,11,1,19,63,12
100045,2000,2024-02-04,22,1,13,64,8
100046,2000,2024-12-27,537,1,16,64,6
100047,2000,2024-06-02,778,1,22,64,8
100048,2000,2024-07-27,101,1,17,64,12
100049,2000,2024-04-14,2547,1,18,64,10
100050,2000,2024-10-30,103,1,16,67,14
100051,2000,2024-01-13,281,1,17,65,8
100052,2000,2024-04-18,652,1,17,65,4
100053,2000,2024-03-23,32,1,13,66,5
100054,2000,2024-09-26,14,1,18,65,5
100055,2000,2024-01-09,90,1,21,66,9
100056,2000,2024-09-06,82,1,14,64,4
100057,2000,2024-07-17,10,1,21,64,6
100058,2000,2024-04-28,327,1,17,65,4
100059,2000,2024-10-06,448,1,18,64,11
100060,2000,2024-06-16,10,1,14,65,10
100061,2000,2024-01-19,168,1,14,64,10
100062,2000,2024-11-24,46,1,13,63,11
100063,2000,2024-07-20,2096,1,16,65,5
100064,2000,2024-08-17,48,1,14,63,3
100065,2000,2024-08-15,151,1,18,65,9
100066,2000,2024-09-30,976,1,15,65,11
100067,2000,2024-07-09,647,1,13,65,6
100068,2000,2024-11-19,140,1,21,66,5
100069,2000,2024-12-25,15,1,14,65,10
100070,2000,2024-09-02,32,1,11,64,11
100071,2000,2024-07-14,35,1,16,65,12
100072,2000,2024-04-20,53,1,15,65,8
100073,2000,2024-01-02,214,1,14,65,9
100074,2000,2024-07-09,31,1,18,65,9
100075,2000,2024-03-09,87,1,21,64,12
