engagement_id,post_id,timestamp,engagement_type,user_id
5000000,300000,2024-07-11 20:33:46,click,1
5000001,300000,2024-03-15 11:44:11,like,1
5000002,300000,2024-01-14 16:53:02,like,1
5000003,300000,2024-12-19 01:51:15,click,1
5000004,300000,2024-07-31 17:08:37,retweet,1
5000005,300000,2024-08-04 01:33:16,share,1
5000006,300000,2024-05-12 03:41:30,comment,1
5000007,300000,2024-11-21 01:17:45,click,1
5000008,300000,2024-09-15 22:55:46,comment,1
5000009,300000,2024-08-12 22:12:05,like,1
5000010,300000,2024-10-11 14:13:11,like,1
5000011,300000,2024-04-07 02:39:46,like,1
5000012,300000,2024-03-31 12:52:42,like,1
5000013,300000,2024-10-23 00:33:46,like,1
5000014,300000,2024-10-24 04:27:27,share,1
5000015,300000,2024-07-17 07:03:35,like,1
5000016,300000,2024-06-16 22:11:04,like,1
5000017,300000,2024-03-02 15:33:17,like,1
5000018,300000,2024-06-18 23:14:32,click,1
5000019,300000,2024-10-09 04:37:41,like,1
5000020,300000,2024-05-05 22:51:42,retweet,1
5000021,300000,2024-11-26 22:09:37,comment,1
5000022,300000,2024-03-16 02:22:21,comment,1
5000023,300000,2024-01-23 01:02:38,comment,1
5000024,300000,2024-06-22 20:16:55,comment,1
5000025,300000,2024-01-09 09:36:40,like,1
5000026,300001,2024-09-22 12:59:32,comment,1
5000027,300001,2024-02-21 07:29:29,comment,1
5000028,300001,2024-05-24 05:54:37,comment,1
5000029,300001,2024-03-10 02:01:28,click,1
5000030,300001,2024-09-28 16:11:51,like,1
5000031,300001,2024-12-22 09:01:25,like,1
5000032,300001,2024-08-27 07:25:46,like,1
5000033,300001,2024-03-03 04:16:08,click,1
5000034,300001,2024-04-14 08:27:28,like,1
5000035,300001,2024-01-20 12:20:36,comment,1
5000036,300001,2024-09-20 22:22:56,comment,1
5000037,300001,2024-05-05 05:31:02,comment,1
5000038,300001,2024-07-18 06:20:35,like,1
5000039,300001,2024-08-21 23:17:54,click,1
5000040,300001,2024-04-12 09:11:24,comment,1
5000041,300001,2024-03-21 18:20:41,comment,1
5000042,300001,2024-03-17 09:33:25,share,1
5000043,300001,2024-03-16 14:21:37,retweet,1
5000044,300001,2024-07-03 23:30:33,comment,1
5000045,300001,2024-02-25 22:31:00,click,1
5000046,300001,2024-11-14 17:31:34,like,1
5000047,300001,2024-06-30 14:23:18,like,1
5000048,300001,2024-06-18 04:42:11,click,1
5000049,300001,2024-02-08 11:39:42,click,1
5000050,300001,2024-12-13 19:10:53,click,1
5000051,300001,2024-10-07 21:00:46,save,1
5000052,300001,2024-03-23 13:58:31,comment,1
5000053,300001,2024-04-13 15:36:43,like,1
5000054,300001,2024-11-21 07:23:23,comment,1
5000055,300001,2024-01-02 07:10:02,like,1
5000056,300001,2024-07-17 19:31:44,share,1
5000057,300001,2024-04-13 00:06:57,like,1
5000058,300001,2024-06-10 13:32:33,like,1
5000059,300001,2024-06-29 10:04:16,comment,1
5000060,300001,2024-06-16 21:18:40,click,1
5000061,300001,2024-06-28 16:38:26,like,1
5000062,300001,2024-01-05 21:02:29,like,1
5000063,300001,2024-01-27 14:02:20,click,1
5000064,300002,2024-04-13 18:28:43,like,1
5000065,300002,2024-02-02 21:26:44,like,1
5000066,300002,2024-05-05 06:33:54,comment,1
5000067,300002,2024-03-18 11:58:46,comment,1
5000068,300002,2024-06-01 01:10:03,like,1
5000069,300002,2024-03-12 01:58:12,click,1
5000070,300002,2024-10-08 18:19:26,save,1
5000071,300002,2024-04-18 21:11:37,like,1
5000072,300002,2024-03-17 07:30:20,save,1
5000073,300002,2024-02-05 11:19:45,click,1
5000074,300002,2024-10-28 09:59:43,share,1
5000075,300002,2024-07-04 03:50:14,like,1
5000076,300002,2024-09-03 12:38:17,click,1
5000077,300002,2024-01-18 10:25:59,click,1
5000078,300002,2024-04-04 05:16:07,like,1
5000079,300002,2024-10-12 13:49:45,like,1
5000080,300002,2024-01-23 22:43:53,share,1
5000081,300002,2024-02-13 20:57:59,like,1
5000082,300002,2024-01-22 05:53:58,share,1
5000083,300002,2024-02-23 11:22:05,comment,1
5000084,300002,2024-10-26 18:36:47,click,1
5000085,300002,2024-05-16 17:34:55,comment,1
5000086,300002,2024-11-22 13:24:25,share,1
5000087,300002,2024-09-26 13:19:14,like,1
5000088,300002,2024-12-03 12:34:25,retweet,1
5000089,300003,2024-08-26 17:26:17,comment,1
5000090,300003,2024-10-24 04:09:14,comment,1
5000091,300003,2024-08-19 19:42:24,click,1
5000092,300003,2024-09-12 23:22:38,share,1
5000093,300003,2024-06-05 05:07:48,save,1
5000094,300003,2024-07-22 08:08:19,like,1
5000095,300003,2024-11-09 11:28:46,like,1
5000096,300003,2024-11-17 09:55:07,share,1
5000097,300003,2024-09-22 05:20:59,like,1
5000098,300003,2024-03-09 11:12:22,like,1
5000099,300003,2024-07-05 19:30:26,click,1
5000100,300003,2024-12-27 18:37:31,like,1
5000101,300003,2024-05-26 04:13:14,like,1
5000102,300003,2024-04-18 10:15:09,comment,1
5000103,300003,2024-06-26 15:53:48,like,1
5000104,300003,2024-06-29 12:39:23,click,1
5000105,300003,2024-03-23 07:15:21,comment,1
5000106,300003,2024-02-28 19:23:40,like,1
5000107,300003,2024-09-02 12:49:36,like,1
5000108,300003,2024-09-09 00:19:12,save,1
5000109,300003,2024-07-08 20:23:19,save,1
5000110,300003,2024-08-22 10:12:13,like,1
5000111,300003,2024-06-01 04:20:26,retweet,1
5000112,300003,2024-09-29 04:00:14,comment,1
5000113,300003,2024-02-02 08:05:26,like,1
5000114,300003,2024-02-17 06:25:31,like,1
5000115,300003,2024-02-11 01:37:26,like,1
5000116,300004,2024-09-03 08:35:45,like,1
5000117,300004,2024-08-11 20:19:25,like,1
5000118,300004,2024-07-01 23:53:33,click,1
5000119,300004,2024-07-03 15:26:00,like,1
5000120,300004,2024-02-08 23:35:37,click,1
5000121,300004,2024-08-28 01:25:13,click,1
5000122,300004,2024-05-13 11:27:15,comment,1
5000123,300004,2024-07-30 09:01:42,comment,1
5000124,300004,2024-03-24 00:58:35,like,1
5000125,300004,2024-04-22 21:25:40,like,1
5000126,300004,2024-06-25 19:02:33,like,1
5000127,300004,2024-11-26 06:23:37,save,1
5000128,300004,2024-11-14 12:13:55,like,1
5000129,300004,2024-06-30 18:51:24,like,1
5000130,300004,2024-12-26 05:55:26,share,1
5000131,300004,2024-10-30 09:41:45,click,1
5000132,300004,2024-12-03 07:44:40,like,1
