ticket_id,person_id,company_id,created_at,resolved_at,priority,category,campaign_id
70000,10000,5067,2024-09-08 05:00:00,2024-01-12 00:00:00,high,security,1016
70001,10000,5194,2024-11-27 04:00:00,2024-11-11 15:00:00,high,bug,1001
70002,10000,5126,2024-03-23 22:00:00,2024-04-06 00:00:00,low,bug,1009
70003,10000,5025,2024-10-17 05:00:00,2024-06-30 07:00:00,low,billing,1021
70004,10000,5180,2024-12-10 09:00:00,2024-04-01 15:00:00,low,bug,1006
70005,10001,5120,2024-09-21 04:00:00,2024-09-26 05:00:00,low,how_to,1007
70006,10002,5169,2024-07-25 13:00:00,2024-02-10 06:00:00,high,integration,1012
70007,10002,5051,2024-02-03 06:00:00,2024-09-25 16:00:00,low,how_to,1039
70008,10002,5071,2024-08-20 09:00:00,2024-05-18 03:00:00,medium,account,1006
70009,10002,5058,2024-03-13 09:00:00,2024-12-01 03:00:00,low,bug,1006
70010,10002,5051,2024-09-21 21:00:00,2024-08-29 06:00:00,low,feature_request,1026
70011,10003,5129,2024-08-25 18:00:00,2024-12-20 04:00:00,low,bug,1045
70012,10003,5002,2024-02-22 14:00:00,2024-02-09 01:00:00,medium,security,1033
70013,10003,5092,2024-05-10 00:00:00,2024-02-05 19:00:00,high,account,1015
70014,10003,5120,2024-02-15 15:00:00,2024-11-01 13:00:00,high,bug,1012
70015,10004,5156,2024-04-01 08:00:00,2024-05-15 07:00:00,medium,how_to,1028
70016,10004,5099,2024-01-26 04:00:00,2024-06-22 06:00:00,low,bug,1014
70017,10004,5188,2024-04-24 10:00:00,2024-12-09 16:00:00,high,feature_request,1024
70018,10005,5089,2024-11-17 04:00:00,2024-08-02 11:00:00,low,feature_request,1035
70019,10005,5140,2024-09-29 16:00:00,2024-11-30 16:00:00,low,how_to,1018
70020,10005,5184,2024-03-13 14:00:00,2024-09-17 23:00:00,medium,billing,1020
70021,10006,5128,2024-10-16 01:00:00,2024-10-18 04:00:00,low,billing,1035
70022,10006,5181,2024-11-08 07:00:00,2024-07-09 16:00:00,medium,how_to,1028
70023,10007,5080,2024-09-25 06:00:00,2024-11-17 22:00:00,critical,feature_request,1025
70024,10007,5056,2024-03-03 14:00:00,2024-12-20 02:00:00,low,how_to,1026
70025,10008,5090,2024-12-26 09:00:00,2024-03-19 15:00:00,low,how_to,1009
70026,10008,5062,2024-06-21 18:00:00,2024-05-20 23:00:00,low,how_to,1035
70027,10008,5103,2024-01-12 06:00:00,2024-03-11 06:00:00,medium,account,1039
70028,10008,5046,2024-05-09 07:00:00,2024-11-22 23:00:00,high,how_to,1027
70029,10008,5038,2024-05-30 03:00:00,2024-05-04 21:00:00,critical,bug,1036
70030,10008,5034,2024-11-21 10:00:00,2024-04-24 10:00:00,low,bug,1031
70031,10008,5109,2024-01-13 00:00:00,2024-11-04 03:00:00,medium,account,1034
70032,10009,5182,2024-07-22 18:00:00,2024-10-25 17:00:00,low,feature_request,1000
70033,10009,5187,2024-06-05 20:00:00,2024-05-31 09:00:00,medium,bug,1029
70034,10009,5107,2024-10-20 10:00:00,2024-07-26 18:00:00,medium,how_to,1033
70035,10009,5124,2024-08-13 01:00:00,2024-08-15 23:00:00,low,performance,1034
70036,10009,5079,2024-11-18 18:00:00,2024-01-09 16:00:00,medium,security,1008
70037,10010,5084,2024-12-20 18:00:00,2024-03-30 15:00:00,low,account,1022
70038,10010,5083,2024-11-28 15:00:00,2024-06-14 15:00:00,high,billing,1006
70039,10010,5040,2024-06-16 04:00:00,2024-04-21 20:00:00,low,billing,1033
70040,10010,5011,2024-07-23 16:00:00,2024-06-25 01:00:00,low,integration,1006
70041,10010,5016,2024-12-15 11:00:00,2024-06-22 04:00:00,high,account,1010
70042,10010,5109,2024-06-27 02:00:00,2024-12-08 08:00:00,medium,billing,1043
70043,10011,5132,2024-07-10 15:00:00,2024-03-27 05:00:00,low,how_to,1040
