session_id,person_id,timestamp,duration_seconds,page_views,campaign_id,source,device,country
1000000,10000,2024-05-15 23:00:00,35,5,1005,direct,mobile,US
1000001,10000,2024-11-16 19:00:00,93,4,1009,social,mobile,GB
1000002,10000,2024-08-25 14:00:00,1508,1,1021,paid,desktop,JP
1000003,10000,2024-11-30 07:00:00,261,5,1045,referral,mobile,US
1000004,10000,2024-02-27 05:00:00,43,2,1010,paid,desktop,IN
1000005,10000,2024-10-02 14:00:00,736,5,1001,referral,mobile,DE
1000006,10000,2024-12-30 21:00:00,168,4,1009,organic,desktop,JP
1000007,10000,2024-09-16 18:00:00,269,5,1039,organic,mobile,BR
1000008,10000,2024-12-25 12:00:00,1991,2,1022,email,desktop,US
1000009,10000,2024-10-13 02:00:00,792,3,1018,organic,desktop,JP
1000010,10000,2024-01-10 22:00:00,71,7,1035,referral,desktop,JP
1000011,10000,2024-08-11 03:00:00,52,4,1017,paid,desktop,CA
1000012,10000,2024-05-28 02:00:00,990,4,1022,paid,desktop,GB
1000013,10000,2024-11-10 21:00:00,183,1,1014,paid,mobile,CA
1000014,10000,2024-04-26 19:00:00,88,7,1031,organic,mobile,AU
1000015,10000,2024-11-30 04:00:00,49,3,1003,referral,mobile,GB
1000016,10001,2024-05-22 02:00:00,136,8,1022,social,mobile,DE
1000017,10001,2024-03-02 13:00:00,637,3,1029,direct,desktop,IN
1000018,10001,2024-01-02 21:00:00,31,4,1015,email,desktop,GB
1000019,10001,2024-12-08 20:00:00,64,10,1034,referral,mobile,FR
1000020,10001,2024-07-01 01:00:00,111,5,1022,social,desktop,CA
1000021,10001,2024-08-23 03:00:00,105,6,1041,email,mobile,JP
1000022,10001,2024-07-30 19:00:00,110,10,1035,organic,mobile,FR
1000023,10001,2024-07-13 04:00:00,36,5,1012,referral,mobile,US
1000024,10001,2024-01-02 11:00:00,458,7,1031,direct,mobile,US
1000025,10001,2024-11-15 16:00:00,335,4,1013,organic,mobile,CA
1000026,10001,2024-04-19 03:00:00,323,4,1019,paid,tablet,CA
1000027,10002,2024-05-27 19:00:00,273,5,1006,organic,mobile,US
1000028,10002,2024-02-07 04:00:00,130,2,1038,social,desktop,US
1000029,10002,2024-10-11 12:00:00,70,4,1019,referral,mobile,US
1000030,10002,2024-03-08 04:00:00,355,4,1016,organic,mobile,US
1000031,10002,2024-06-23 03:00:00,76,9,1031,paid,mobile,IN
1000032,10002,2024-03-17 20:00:00,19,4,1006,referral,desktop,DE
1000033,10002,2024-05-04 07:00:00,40,5,1013,direct,desktop,GB
